,date,est,date_pub
162,2002_Q2,THIRD,9/27/2002
161,2002_Q3,ADVANCE,10/31/2002
159,2002_Q3,SECOND,11/26/2002
160,2002_Q3,THIRD,12/20/2002
158,2002_Q4,ADVANCE,1/30/2003
156,2002_Q4,SECOND,2/28/2003
157,2002_Q4,THIRD,3/27/2003
155,2003_Q1,ADVANCE,4/25/2003
153,2003_Q1,SECOND,5/29/2003
154,2003_Q1,THIRD,6/26/2003
152,2003_Q2,ADVANCE,7/31/2003
150,2003_Q2,SECOND,8/28/2003
151,2003_Q2,THIRD,9/26/2003
149,2003_Q3,ADVANCE,10/30/2003
147,2003_Q3,SECOND,11/25/2003
148,2003_Q3,THIRD,12/23/2003
146,2003_Q4,ADVANCE,1/30/2004
144,2003_Q4,SECOND,2/27/2004
145,2003_Q4,THIRD,3/25/2004
143,2004_Q1,ADVANCE,4/29/2004
141,2004_Q1,SECOND,5/27/2004
142,2004_Q1,THIRD,6/25/2004
140,2004_Q2,ADVANCE,7/30/2004
138,2004_Q2,SECOND,8/27/2004
139,2004_Q2,THIRD,9/29/2004
137,2004_Q3,ADVANCE,10/29/2004
135,2004_Q3,SECOND,11/30/2004
136,2004_Q3,THIRD,12/22/2004
134,2004_Q4,ADVANCE,1/28/2005
132,2004_Q4,SECOND,2/25/2005
133,2004_Q4,THIRD,3/30/2005
131,2005_Q1,ADVANCE,4/28/2005
129,2005_Q1,SECOND,5/26/2005
130,2005_Q1,THIRD,6/29/2005
128,2005_Q2,ADVANCE,7/29/2005
126,2005_Q2,SECOND,8/31/2005
127,2005_Q2,THIRD,9/29/2005
125,2005_Q3,ADVANCE,10/28/2005
123,2005_Q3,SECOND,11/30/2005
124,2005_Q3,THIRD,12/21/2005
122,2005_Q4,ADVANCE,1/27/2006
120,2005_Q4,SECOND,2/28/2006
121,2005_Q4,THIRD,3/30/2006
119,2006_Q1,ADVANCE,4/28/2006
117,2006_Q1,SECOND,5/25/2006
118,2006_Q1,THIRD,6/29/2006
116,2006_Q2,ADVANCE,7/28/2006
114,2006_Q2,SECOND,8/30/2006
115,2006_Q2,THIRD,9/28/2006
113,2006_Q3,ADVANCE,10/27/2006
111,2006_Q3,SECOND,11/29/2006
112,2006_Q3,THIRD,12/21/2006
110,2006_Q4,ADVANCE,1/27/2007
108,2006_Q4,SECOND,2/28/2007
109,2006_Q4,THIRD,3/30/2007
107,2007_Q1,ADVANCE,4/27/2007
105,2007_Q1,SECOND,5/31/2007
106,2007_Q1,THIRD,6/28/2007
104,2007_Q2,ADVANCE,7/27/2007
102,2007_Q2,SECOND,8/30/2007
103,2007_Q2,THIRD,9/27/2007
101,2007_Q3,ADVANCE,10/31/2007
99,2007_Q3,SECOND,11/29/2007
100,2007_Q3,THIRD,12/20/2007
98,2007_Q4,ADVANCE,1/30/2008
96,2007_Q4,SECOND,2/28/2008
97,2007_Q4,THIRD,3/27/2008
95,2008_Q1,ADVANCE,4/30/2008
93,2008_Q1,SECOND,5/29/2008
94,2008_Q1,THIRD,6/26/2008
92,2008_Q2,ADVANCE,7/31/2008
90,2008_Q2,SECOND,8/28/2008
91,2008_Q2,THIRD,9/26/2008
89,2008_Q3,ADVANCE,10/30/2008
87,2008_Q3,SECOND,11/25/2008
88,2008_Q3,THIRD,12/23/2008
86,2008_Q4,ADVANCE,1/30/2009
84,2008_Q4,SECOND,2/27/2009
85,2008_Q4,THIRD,3/26/2009
83,2009_Q1,ADVANCE,4/29/2009
81,2009_Q1,SECOND,5/29/2009
82,2009_Q1,THIRD,6/25/2009
80,2009_Q2,ADVANCE,7/31/2009
79,2009_Q2,SECOND,8/27/2009
78,2009_Q2,THIRD,9/30/2009
77,2009_Q3,ADVANCE,10/29/2009
76,2009_Q3,SECOND,11/24/2009
75,2009_Q3,THIRD,12/22/2009
74,2009_Q4,ADVANCE,1/29/2010
73,2009_Q4,SECOND,2/26/2010
72,2009_Q4,THIRD,3/26/2010
71,2010_Q1,ADVANCE,4/30/2010
70,2010_Q1,SECOND,5/27/2010
69,2010_Q1,THIRD,6/25/2010
68,2010_Q2,ADVANCE,7/30/2010
67,2010_Q2,SECOND,8/27/2010
66,2010_Q2,THIRD,9/30/2010
65,2010_Q3,ADVANCE,10/29/2010
64,2010_Q3,SECOND,11/23/2010
63,2010_Q3,THIRD,12/22/2010
62,2010_Q4,ADVANCE,1/28/2011
61,2010_Q4,SECOND,2/25/2011
60,2010_Q4,THIRD,3/25/2011
59,2011_Q1,ADVANCE,4/28/2011
58,2011_Q1,SECOND,5/26/2011
57,2011_Q1,THIRD,6/24/2011
56,2011_Q2,ADVANCE,7/29/2011
55,2011_Q2,SECOND,8/26/2011
54,2011_Q2,THIRD,9/29/2011
53,2011_Q3,ADVANCE,10/27/2011
52,2011_Q3,SECOND,11/22/2011
51,2011_Q3,THIRD,12/22/2011
50,2011_Q4,ADVANCE,1/27/2012
49,2011_Q4,SECOND,2/29/2012
48,2011_Q4,THIRD,3/29/2012
47,2012_Q1,ADVANCE,4/27/2012
46,2012_Q1,SECOND,5/31/2012
45,2012_Q1,THIRD,6/28/2012
44,2012_Q2,ADVANCE,7/27/2012
43,2012_Q2,SECOND,8/29/2012
42,2012_Q2,THIRD,9/27/2012
41,2012_Q3,ADVANCE,10/26/2012
40,2012_Q3,SECOND,11/29/2012
39,2012_Q3,THIRD,12/20/2012
38,2012_Q4,ADVANCE,1/30/2013
37,2012_Q4,SECOND,2/28/2013
36,2012_Q4,THIRD,3/28/2013
35,2013_Q1,ADVANCE,4/26/2013
34,2013_Q1,SECOND,5/30/2013
33,2013_Q1,THIRD,6/26/2013
32,2013_Q2,ADVANCE,7/31/2013
31,2013_Q2,SECOND,8/29/2013
30,2013_Q2,THIRD,9/26/2013
29,2013_Q3,ADVANCE,11/7/2013
28,2013_Q3,SECOND,12/5/2013
27,2013_Q3,THIRD,12/20/2013
26,2013_Q4,ADVANCE,1/30/2014
25,2013_Q4,SECOND,2/28/2014
24,2013_Q4,THIRD,3/27/2014
23,2014_Q1,ADVANCE,4/30/2014
22,2014_Q1,SECOND,5/29/2014
21,2014_Q1,THIRD,6/25/2014
20,2014_Q2,ADVANCE,7/30/2014
19,2014_Q2,SECOND,8/28/2014
18,2014_Q2,THIRD,9/26/2014
17,2014_Q3,ADVANCE,10/30/2014
16,2014_Q3,SECOND,11/25/2014
15,2014_Q3,THIRD,12/23/2014
14,2014_Q4,ADVANCE,1/30/2015
13,2014_Q4,SECOND,2/27/2015
12,2014_Q4,THIRD,3/27/2015
11,2015_Q1,ADVANCE,4/29/2015
10,2015_Q1,SECOND,5/29/2015
9,2015_Q1,THIRD,6/24/2015
8,2015_Q2,ADVANCE,7/30/2015
7,2015_Q2,SECOND,8/27/2015
6,2015_Q2,THIRD,9/25/2015
5,2015_Q3,ADVANCE,10/29/2015
4,2015_Q3,SECOND,11/24/2015
3,2015_Q3,THIRD,12/22/2015
2,2015_Q4,ADVANCE,1/29/2016
1,2015_Q4,SECOND,2/26/2016
0,2015_Q4,THIRD,3/25/2016
